Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns
Evan Engram,JAX,TE,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Ridley,TEN,WR,24.7,2,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,6.0,4.0,77.0,1.0
Brandon Aubrey,DAL,K,17.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Browns D/ST,CLE,D/ST,9.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dak Prescott,DAL,QB,12.92,2,27.0,293.0,1.0,2.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
Christian Kirk,JAX,WR,0.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-1.0,0.0
Jaxon Smith-Njigba,SEA,WR,23.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,117.0,0.0
Brian Robinson Jr.,WSH,RB,14.6,2,0.0,0.0,0.0,0.0,17.0,133.0,0.0,0.0,3.0,1.0,3.0,0.0
Jaylen Warren,PIT,RB,8.1,2,0.0,0.0,0.0,0.0,9.0,42.0,0.0,0.0,2.0,2.0,19.0,0.0
Devin Singletary,NYG,RB,14.5,2,0.0,0.0,0.0,0.0,16.0,95.0,1.0,1.0,1.0,1.0,0.0,0.0
Dallas Goedert,PHI,TE,6.8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,38.0,0.0
Tyreek Hill,MIA,WR,6.6,2,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,6.0,3.0,24.0,0.0
Derrick Henry,BAL,RB,16.6,2,0.0,0.0,0.0,0.0,18.0,84.0,1.0,0.0,1.0,1.0,12.0,0.0
Deebo Samuel Sr.,SF,WR,18.0,2,0.0,0.0,0.0,0.0,2.0,-10.0,0.0,0.0,10.0,8.0,110.0,0.0
Travis Kelce,KC,TE,1.6,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0
De'Von Achane,MIA,RB,29.5,2,0.0,0.0,0.0,0.0,22.0,96.0,0.0,0.0,7.0,7.0,69.0,1.0
Lamar Jackson,BAL,QB,16.38,2,21.0,247.0,1.0,1.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
DeVonta Smith,PHI,WR,20.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,76.0,1.0
Amari Cooper,CLE,WR,4.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,11.0,0.0
