Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Dalton Kincaid,BUF,TE,13.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,41.0,1.0,ACTIVE,0.0,0.0,0.0,False
Diontae Johnson,CAR,WR,26.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,122.0,1.0,ACTIVE,0.0,0.0,0.0,False
Xavier Worthy,KC,WR,5.0,3,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,4.0,2.0,17.0,0.0,ACTIVE,0.0,0.0,0.0,False
Ladd McConkey,LAC,WR,7.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,44.0,0.0,ACTIVE,0.0,0.0,0.0,False
Ka'imi Fairbairn,HOU,K,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Isaiah Likely,BAL,TE,1.4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,ACTIVE,0.0,0.0,0.0,False
Bucky Irving,TB,RB,11.4,3,0.0,0.0,0.0,0.0,9.0,70.0,0.0,0.0,3.0,3.0,14.0,0.0,ACTIVE,0.0,0.0,0.0,False
D'Andre Swift,CHI,RB,6.2,3,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,4.0,2.0,22.0,0.0,ACTIVE,0.0,0.0,0.0,False
Texans D/ST,HOU,D/ST,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
CeeDee Lamb,DAL,WR,8.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,67.0,0.0,ACTIVE,0.0,0.0,0.0,False
Jahmyr Gibbs,DET,RB,16.3,3,0.0,0.0,0.0,0.0,16.0,83.0,0.0,0.0,0.0,0.0,20.0,1.0,ACTIVE,0.0,0.0,0.0,False
Michael Pittman Jr.,IND,WR,7.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,36.0,0.0,ACTIVE,0.0,0.0,0.0,False
Josh Jacobs,GB,RB,5.8,3,0.0,0.0,0.0,0.0,14.0,43.0,0.0,0.0,1.0,1.0,5.0,0.0,ACTIVE,0.0,0.0,0.0,False
Trey McBride,ARI,TE,5.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,25.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Anthony Richardson,IND,QB,5.08,3,10.0,167.0,0.0,2.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Stefon Diggs,HOU,WR,19.92,3,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,94.0,0.0,ACTIVE,0.0,0.0,0.0,False
Zamir White,LV,RB,3.4,3,0.0,0.0,0.0,0.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Tank Dell,HOU,WR,11.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,62.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Rome Odunze,CHI,WR,23.4,3,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,6.0,112.0,1.0,ACTIVE,0.0,0.0,0.0,False
49ers D/ST,SF,D/ST,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Jake Moody,SF,K,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Braelon Allen,NYJ,RB,9.8,3,0.0,0.0,0.0,0.0,11.0,55.0,0.0,0.0,3.0,3.0,13.0,0.0,ACTIVE,0.0,0.0,0.0,False
Steelers D/ST,PIT,D/ST,11.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Greg Zuerlein,NYJ,K,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Baker Mayfield,TB,QB,8.52,3,25.0,163.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
