"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Quez Watkins","PHI","WR","5.8","5.8","1","0","0","0","0","0","0","0","0","4","3","28","0"
"Jayden Reed","GB","WR","5.6","5.6","1","0","0","0","0","0","0","0","0","5","4","16","0"
"Adam Thielen","CAR","WR","5.5","5.5","1","0","0","0","0","0","0","0","0","6","3","25","0"
"Tyler Higbee","LAR","TE","5.5","5.5","1","0","0","0","0","0","0","0","0","4","2","35","0"
"Brian Robinson Jr.","WAS","RB","5.3","5.3","1","0","0","0","0","7","53","0","0","0","0","0","0"
"Devin Singletary","HOU","RB","5","5","1","0","0","0","0","8","36","0","0","1","1","4","0"
"Allen Robinson II","PIT","WR","4.9","4.9","1","0","0","0","0","0","0","0","0","3","3","19","0"
"Foster Moreau","NO","TE","4.8","4.8","1","0","0","0","0","0","0","0","0","2","2","28","0"
"Austin Ekeler","LAC","RB","4.7","4.7","1","0","0","0","0","14","18","0","0","3","2","9","0"
"Marquez Valdes-Scantling","KC","WR","4.5","4.5","1","0","0","0","0","0","0","0","0","5","2","25","0"
"Joshua Kelley","LAC","RB","4.5","4.5","1","0","0","0","0","6","16","0","0","3","2","9","0"
"Trey Palmer","TB","WR","4.5","4.5","1","0","0","0","0","1","13","0","0","5","2","12","0"
"Josh Downs","IND","WR","4.4","4.4","1","0","0","0","0","0","0","0","0","5","3","14","0"
"Jahan Dotson","WAS","WR","4.3","4.3","1","0","0","0","0","0","0","0","0","5","2","23","0"
"Julian Hill","MIA","TE","4.3","4.3","1","0","0","0","0","0","0","0","0","2","2","23","0"
"Tim Boyle","NYJ","QB","4.1","4.1","1","14","148","0","1","1","2","0","0","0","0","0","0"
"Jaleel McLaughlin","DEN","RB","4.1","4.1","1","0","0","0","0","4","15","0","0","2","2","6","0"
"D'Andre Swift","PHI","RB","4","4","1","0","0","0","0","6","13","0","0","6","2","7","0"
"Cedric Tillman","CLE","WR","4","4","1","0","0","0","0","0","0","0","0","6","2","20","0"
"A.T. Perry","NO","WR","4","4","1","0","0","0","0","0","0","0","0","3","1","30","0"
"Boston Scott","PHI","RB","3.9","3.9","1","0","0","0","0","1","2","0","0","1","1","27","0"
"Miles Sanders","CAR","RB","3.9","3.9","1","0","0","0","0","8","23","0","0","2","1","6","0"
"Tyquan Thornton","NE","WR","3.9","3.9","1","0","0","0","0","1","39","0","0","1","0","0","0"
"Nick Westbrook-Ikhine","TEN","WR","3.8","3.8","1","0","0","0","0","0","0","0","0","3","1","28","0"
"David Njoku","CLE","TE","3.7","3.7","1","0","0","0","0","0","0","0","0","6","2","17","0"
"Dalvin Cook","NYJ","RB","3.6","3.6","1","0","0","0","0","9","35","0","1","2","1","11","0"
