"Name","Team","lineupSlot","points",averagePoints,"GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Jaylen Waddle","MIA","WR","8.4","8.4","1","0","0","0","0","1","12","0","0","6","3","42","0"
"Aidan O'Connell","LV","QB","8.4","8.4","1","16","209","0","0","0","0","0","0","0","0","0","0"
"D'Onta Foreman","CHI","RB","8.3","8.3","1","0","0","0","0","20","83","0","0","0","0","0","0"
"Isaiah Likely","BAL","TE","8.2","8.2","1","0","0","0","0","0","0","0","0","4","4","42","0"
"Ja'Marr Chase","CIN","WR","8.1","8.1","1","0","0","0","0","0","0","0","0","8","4","41","0"
"Trey Palmer","TB","WR","8.1","8.1","1","0","0","0","0","0","0","0","0","4","3","51","0"
"Dallas Goedert","PHI","TE","8","8","1","0","0","0","0","0","0","0","0","4","3","50","0"
"Adam Thielen","CAR","WR","7.9","7.9","1","0","0","0","0","0","0","0","0","6","5","29","0"
"James Cook","BUF","RB","7.9","7.9","1","0","0","0","0","6","20","0","0","4","4","19","0"
"Tre Tucker","LV","WR","7.6","7.6","1","0","0","0","0","1","4","0","0","3","2","52","0"
"KaVontae Turpin","DAL","WR","7.5","7.5","1","0","0","0","0","1","0","0","0","1","1","5","1"
"Davante Adams","LV","WR","7.4","7.4","1","0","0","0","0","0","0","0","0","7","4","34","0"
"Hayden Hurst","CAR","TE","7.4","7.4","1","0","0","0","0","0","0","0","0","4","2","54","0"
"Daniel Bellinger","NYG","TE","7.3","7.3","1","0","0","0","0","0","0","0","0","3","3","43","0"
"Zach Wilson","NYJ","QB","7.2","7.2","1","33","263","0","0","2","7","0","2","0","0","0","0"
"Justin Herbert","LAC","QB","7.1","7.1","1","16","136","0","0","3","17","0","0","0","0","0","0"
"Logan Thomas","WAS","TE","7.1","7.1","1","0","0","0","0","0","0","0","0","6","4","31","0"
"Jayden Reed","GB","WR","7","7","1","0","0","0","0","1","21","0","0","3","3","19","0"
"Dontayvion Wicks","GB","WR","6.9","6.9","1","0","0","0","0","0","0","0","1","4","4","49","0"
"Jeff Wilson Jr.","MIA","RB","6.8","6.8","1","0","0","0","0","2","6","0","0","4","3","32","0"
"Cooper Kupp","LAR","WR","6.8","6.8","1","0","0","0","0","0","0","0","0","7","2","48","0"
"Cam Akers","MIN","RB","6.8","6.8","1","0","0","0","0","8","25","0","0","3","3","13","0"
"Stephen Sullivan","CAR","TE","6.8","6.8","1","0","0","0","0","0","0","0","0","5","4","28","0"
"Mack Hollins","ATL","WR","6.6","6.6","1","0","0","0","0","0","0","0","0","3","3","36","0"
"Romeo Doubs","GB","WR","6.6","6.6","1","0","0","0","0","0","0","0","0","3","3","36","0"
"Isiah Pacheco","KC","RB","6.6","6.6","1","0","0","0","0","16","66","0","0","1","0","0","0"
"Marquise Brown","ARI","WR","6.4","6.4","1","0","0","0","0","0","0","0","0","8","4","24","0"
"Noah Gray","KC","TE","6.4","6.4","1","0","0","0","0","0","0","0","0","3","3","34","0"
"Tyler Huntley","BAL","QB","6.3","6.3","1","5","38","1","0","4","8","0","0","0","0","0","0"
"Jamison Crowder","WAS","WR","6.3","6.3","1","0","0","0","0","0","0","0","0","6","4","23","0"
"Tyler Lockett","SEA","WR","6.2","6.2","1","0","0","0","0","0","0","0","0","8","3","32","0"
"Ezekiel Elliott","NE","RB","6.2","6.2","1","0","0","0","0","6","17","0","0","5","3","15","0"
"Tyjae Spears","TEN","RB","6.2","6.2","1","0","0","0","0","5","18","0","0","6","4","4","0"
"Puka Nacua","LAR","WR","6.2","6.2","1","0","0","0","0","0","0","0","0","7","3","32","0"
"DK Metcalf","SEA","WR","6","6","1","0","0","0","0","0","0","0","0","4","1","50","0"
"Bijan Robinson","ATL","RB","5.9","5.9","1","0","0","0","0","11","51","0","1","4","2","8","0"
"Rashod Bateman","BAL","WR","5.8","5.8","1","0","0","0","0","0","0","0","0","5","3","28","0"
"Chigoziem Okonkwo","TEN","TE","5.8","5.8","1","0","0","0","0","0","0","0","0","4","3","28","0"
"Darrell Henderson Jr.","LAR","RB","5.5","5.5","1","0","0","0","0","10","19","0","0","2","2","16","0"
"DJ Moore","CHI","WR","5.4","5.4","1","0","0","0","0","0","0","0","1","5","3","44","0"
"AJ Dillon","GB","RB","5.3","5.3","1","0","0","0","0","9","40","0","0","1","1","3","0"
"Tutu Atwell","LAR","WR","5.3","5.3","1","0","0","0","0","0","0","0","0","7","4","13","0"
"Dyami Brown","WAS","WR","5.3","5.3","1","0","0","0","0","0","0","0","0","4","2","33","0"
"Skyy Moore","KC","WR","5.3","5.3","1","0","0","0","0","0","0","0","0","3","2","33","0"
"Hunter Renfrow","LV","WR","5.2","5.2","1","0","0","0","0","0","0","0","0","3","2","32","0"
"Trey McBride","ARI","TE","5.2","5.2","1","0","0","0","0","0","0","0","0","5","3","22","0"
"Rashid Shaheed","NO","WR","5.2","5.2","1","0","0","0","0","0","0","0","0","3","3","22","0"
"Xavier Gipson","NYJ","WR","5.2","5.2","1","0","0","0","0","0","0","0","0","2","2","32","0"
"Treylon Burks","TEN","WR","4.8","4.8","1","0","0","0","0","1","5","0","0","3","2","23","0"
"Durham Smythe","MIA","TE","4.7","4.7","1","0","0","0","0","0","0","0","0","3","3","17","0"
"Christian Watson","GB","WR","4.7","4.7","1","0","0","0","0","0","0","0","0","2","1","37","0"
"Devin Singletary","HOU","RB","4.6","4.6","1","0","0","0","0","13","26","0","0","2","2","0","0"
"Ameer Abdullah","LV","RB","4.5","4.5","1","0","0","0","0","2","8","0","0","2","2","17","0"
"Travis Kelce","KC","TE","4.4","4.4","1","0","0","0","0","0","0","0","0","4","3","14","0"
"Emanuel Wilson","GB","RB","4.3","4.3","1","0","0","0","0","4","43","0","0","0","0","0","0"
"Jaren Hall","MIN","QB","4.2","4.2","1","5","78","0","0","2","11","0","0","0","0","0","0"
"Marquez Valdes-Scantling","KC","WR","4.2","4.2","1","0","0","0","0","0","0","0","0","3","2","22","0"
"Darrynton Evans","CHI","RB","4.1","4.1","1","0","0","0","0","1","2","0","0","2","2","19","0"
"Kendre Miller","NO","RB","4.1","4.1","1","0","0","0","0","1","0","0","0","1","1","31","0"
"Mecole Hardman Jr.","KC","WR","4","4","1","0","0","0","0","0","0","0","0","3","3","10","0"
"Justice Hill","BAL","RB","4","4","1","0","0","0","0","13","40","0","0","1","0","0","0"
"Chris Moore","TEN","WR","3.9","3.9","1","0","0","0","0","0","0","0","0","2","1","29","0"
"Michael Gallup","DAL","WR","3.9","3.9","1","0","0","0","0","0","0","0","0","3","2","19","0"
"Jalin Hyatt","NYG","WR","3.9","3.9","1","0","0","0","0","0","0","0","0","5","2","19","0"
"Gerald Everett","LAC","TE","3.8","3.8","1","0","0","0","0","0","0","0","0","2","2","18","0"
"Allen Lazard","NYJ","WR","3.8","3.8","1","0","0","0","0","0","0","0","0","6","2","18","0"
"K.J. Osborn","MIN","WR","3.7","3.7","1","0","0","0","0","0","0","0","0","2","2","17","0"
"Chris Godwin","TB","WR","3.6","3.6","1","0","0","0","0","0","0","0","0","6","2","16","0"
"Connor Heyward","PIT","TE","3.6","3.6","1","0","0","0","0","0","0","0","0","3","2","16","0"
"Quentin Johnston","LAC","WR","3.6","3.6","1","0","0","0","0","1","2","0","0","3","2","14","0"
"Justin Watson","KC","WR","3.5","3.5","1","0","0","0","0","0","0","0","0","5","2","15","0"
"Parris Campbell","NYG","WR","3.5","3.5","1","0","0","0","0","0","0","0","0","2","2","15","0"
"Elijah Moore","CLE","WR","3.4","3.4","1","0","0","0","0","0","0","0","0","2","2","14","0"
"Foster Moreau","NO","TE","3.3","3.3","1","0","0","0","0","0","0","0","0","1","1","23","0"
"Nick Westbrook-Ikhine","TEN","WR","3.3","3.3","1","0","0","0","0","0","0","0","0","1","1","23","0"
"Jamaal Williams","NO","RB","3.2","3.2","1","0","0","0","0","3","6","0","0","3","2","6","0"
"Royce Freeman","LAR","RB","3.2","3.2","1","0","0","0","0","12","32","0","0","1","0","0","0"
"Trishton Jackson","MIN","WR","3.2","3.2","1","0","0","0","0","0","0","0","0","3","1","2","0"
"Salvon Ahmed","MIA","RB","3.2","3.2","1","0","0","0","0","3","4","0","0","3","2","8","0"
"Tommy Tremble","CAR","TE","3.2","3.2","1","0","0","0","0","0","0","0","0","2","2","12","0"
"Joshua Kelley","LAC","RB","3.2","3.2","1","0","0","0","0","3","18","0","0","1","1","4","0"
"C.J. Uzomah","NYJ","TE","3.1","3.1","1","0","0","0","0","0","0","0","0","5","2","11","0"
"Brett Rypien","LAR","QB","3.1","3.1","1","13","130","0","1","3","19","0","1","0","0","0","0"
"Michael Mayer","LV","TE","3.1","3.1","1","0","0","0","0","0","0","0","0","2","2","11","0"
"Devin Duvernay","BAL","WR","3","3","1","0","0","0","0","0","0","0","0","2","2","10","0"
"Drew Ogletree","IND","TE","2.9","2.9","1","0","0","0","0","0","0","0","0","3","1","19","0"
"Johnny Mundt","MIN","TE","2.8","2.8","1","0","0","0","0","0","0","0","0","1","1","18","0"
"Kadarius Toney","KC","WR","2.8","2.8","1","0","0","0","0","0","0","0","0","1","1","18","0"
"Tony Jones Jr.","ARI","RB","2.7","2.7","1","0","0","0","0","3","2","0","0","3","2","5","0"
"Kenneth Walker III","SEA","RB","2.7","2.7","1","0","0","0","0","9","16","0","0","2","1","1","0"
"Geno Smith","SEA","QB","2.7","2.7","1","13","157","0","1","2","4","0","1","0","0","0","0"
"Zack Moss","IND","RB","2.6","2.6","1","0","0","0","0","7","26","0","0","0","0","0","0"
"DeAndre Carter","LV","WR","2.5","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"Demarcus Robinson","LAR","WR","2.5","2.5","1","0","0","0","0","0","0","0","0","1","1","15","0"
"Andrew Beck","HOU","RB","2.5","2.5","1","0","0","0","0","0","0","0","0","2","2","5","0"
"Roschon Johnson","CHI","RB","2.5","2.5","1","0","0","0","0","2","6","0","0","1","1","9","0"
"Van Jefferson","ATL","WR","2.4","2.4","1","0","0","0","0","0","0","0","0","4","1","14","0"
"John Metchie III","HOU","WR","2.4","2.4","1","0","0","0","0","0","0","0","0","1","1","14","0"
"Zach Charbonnet","SEA","RB","2.3","2.3","1","0","0","0","0","4","8","0","0","1","1","5","0"
"Matt Breida","NYG","RB","2.1","2.1","1","0","0","0","0","2","5","0","0","2","1","6","0"
"Robert Tonyan","CHI","TE","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"Jordan Akins","CLE","TE","2.1","2.1","1","0","0","0","0","0","0","0","0","3","1","11","0"
"Josh Oliver","MIN","TE","2.1","2.1","1","0","0","0","0","0","0","0","0","2","2","1","0"
"Jalen Reagor","NE","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","6","1","11","0"
"Zay Flowers","BAL","WR","2.1","2.1","1","0","0","0","0","0","0","0","0","1","1","11","0"
"Latavius Murray","BUF","RB","2","2","1","0","0","0","0","2","4","0","0","1","1","6","0"
"Allen Robinson II","PIT","WR","2","2","1","0","0","0","0","0","0","0","0","2","1","10","0"
"Austin Hooper","LV","TE","2","2","1","0","0","0","0","0","0","0","0","1","1","10","0"
"Josh Downs","IND","WR","2","2","1","0","0","0","0","0","0","0","0","1","1","10","0"
"Trent Sherfield","BUF","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","2","1","9","0"
"Daniel Jones","NYG","QB","1.9","1.9","1","4","25","0","0","2","9","0","0","0","0","0","0"
"George Pickens","PIT","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","5","2","-1","0"
"Andrei Iosivas","CIN","WR","1.9","1.9","1","0","0","0","0","0","0","0","0","1","1","9","0"
"Dalvin Cook","NYJ","RB","1.8","1.8","1","0","0","0","0","2","7","0","0","2","1","1","0"
"Olamide Zaccheaus","PHI","WR","1.8","1.8","1","0","0","0","0","0","0","0","0","2","1","8","0"
"Rondale Moore","ARI","WR","1.8","1.8","1","0","0","0","0","4","3","0","0","2","1","5","0"
"Ke'Shawn Vaughn","TB","RB","1.8","1.8","1","0","0","0","0","4","9","0","0","1","1","-1","0"
"Brandin Cooks","DAL","WR","1.7","1.7","1","0","0","0","0","0","0","0","0","2","1","7","0"
"Nick Bawden","NYJ","RB","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Malik Taylor","NYJ","WR","1.7","1.7","1","0","0","0","0","0","0","0","0","2","1","7","0"
"Josiah Deguara","GB","TE","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Jeremy Ruckert","NYJ","TE","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Darnell Washington","PIT","TE","1.7","1.7","1","0","0","0","0","0","0","0","0","1","1","7","0"
"Tyquan Thornton","NE","WR","1.7","1.7","1","0","0","0","0","0","0","0","0","4","1","7","0"
"Miles Boykin","PIT","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Colby Parkinson","SEA","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Austin Trammell","LAR","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Jonathan Mingo","CAR","WR","1.5","1.5","1","0","0","0","0","0","0","0","0","4","1","5","0"
"Raheem Blackshear","CAR","RB","1.5","1.5","1","0","0","0","0","1","0","0","0","1","1","5","0"
"Cordarrelle Patterson","ATL","RB","1.3","1.3","1","0","0","0","0","1","0","0","0","1","1","3","0"
"Trayveon Williams","CIN","RB","1.3","1.3","1","0","0","0","0","3","13","0","0","0","0","0","0"
"Cedric Tillman","CLE","WR","1.3","1.3","1","0","0","0","0","0","0","0","0","1","1","3","0"
"Nelson Agholor","BAL","WR","1.2","1.2","1","0","0","0","0","0","0","0","0","1","1","2","0"
"Isaiah McKenzie","IND","WR","1.2","1.2","1","0","0","0","0","0","0","0","1","3","2","12","0"
