"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Keith Smith","ATL","RB","6.3","0.5","13","0","0","0","0","0","0","0","0","3","3","33","0"
"Charlie Woerner","SF","TE","6.2","0.4","17","0","0","0","0","0","0","0","0","3","3","32","0"
"Nate Adkins","DEN","TE","6.2","0.6","10","0","0","0","0","0","0","0","0","5","4","22","0"
"Blaine Gabbert","KC","QB","5.9","3","2","18","185","0","3","7","45","0","0","0","0","0","0"
"Zach Pascal","ARI","WR","5.9","0.4","14","0","0","0","0","0","0","0","0","15","4","19","0"
"Jalen Nailor","MIN","WR","5.9","1","6","0","0","0","0","0","0","0","0","6","3","29","0"
"Khari Blasingame","CHI","RB","5.8","0.4","16","0","0","0","0","8","26","0","0","6","3","2","0"
"Steven Sims","HOU","WR","5.6","1.9","3","0","0","0","0","1","1","0","0","3","3","25","0"
"Mike Strachan","CAR","WR","5.5","1.4","4","0","0","0","0","0","0","0","0","3","1","45","0"
"Greg Dulcich","DEN","TE","5.5","2.8","2","0","0","0","0","0","0","0","0","4","3","25","0"
"Teagan Quitoriano","HOU","TE","5.3","0.8","7","0","0","0","0","0","0","0","0","3","2","33","0"
"Sean Tucker","TB","RB","5.2","0.5","11","0","0","0","0","15","23","0","0","2","2","9","0"
"Brian Hoyer","LV","QB","4.9","1.6","3","23","231","0","2","3","-3","0","0","0","0","0","0"
"Trishton Jackson","MIN","WR","4.9","0.7","7","0","0","0","0","0","0","0","0","4","2","9","0"
"Austin Trammell","LAR","WR","4.9","0.3","16","0","0","0","0","0","0","0","1","7","4","29","0"
"Rashaad Penny","PHI","RB","4.8","1.6","3","0","0","0","0","11","33","0","0","1","1","5","0"
"Kenny Yeboah","NYJ","TE","4.8","1","5","0","0","0","0","0","0","0","0","4","2","28","0"
"James Mitchell","DET","TE","4.8","0.3","15","0","0","0","0","0","0","0","0","2","2","28","0"
"Brett Rypien","LAR","QB","4.8","2.4","2","18","172","0","1","3","19","0","1","0","0","0","0"
"Miles Boykin","PIT","WR","4.7","0.3","17","0","0","0","0","0","0","0","0","4","3","17","0"
"Alex Armah","WAS","RB","4.3","0.5","8","0","0","0","0","0","0","0","0","3","3","13","0"
"Jashaun Corbin","NYG","RB","4.3","0.7","6","0","0","0","0","1","1","0","0","3","3","12","0"
"Eric Saubert","DAL","TE","4.2","0.4","10","0","0","0","0","0","0","0","0","3","3","12","0"
"Leonard Fournette","BUF","RB","4","2","2","0","0","0","0","12","40","0","0","0","0","0","0"
"Deon Jackson","IND","RB","4","1","4","0","0","0","0","14","16","0","2","6","5","14","0"
"Elijah Dotson","LAC","RB","3.9","1","4","0","0","0","0","4","6","0","0","2","2","13","0"
"Kayshon Boutte","NE","WR","3.9","0.8","5","0","0","0","0","0","0","0","0","7","2","19","0"
"Chris Manhertz","DEN","TE","3.6","0.2","16","0","0","0","0","0","0","0","0","4","2","16","0"
"Willie Snead IV","SF","WR","3.4","0.8","4","0","0","0","0","0","0","0","0","3","2","14","0"
"Malik Taylor","NYJ","WR","3.3","1.1","3","0","0","0","0","0","0","0","0","4","2","13","0"
"Cooper Rush","DAL","QB","3.3","0.4","8","18","144","0","1","12","-5","0","0","0","0","0","0"
"Jake Funk","IND","RB","3.2","0.8","4","0","0","0","0","2","10","0","0","1","1","12","0"
"Nick Muse","MIN","TE","3.2","1.6","2","0","0","0","0","0","0","0","0","1","1","22","0"
"Kenyan Drake","BAL","RB","3.1","1","3","0","0","0","0","2","0","0","1","3","2","31","0"
"Trevon Wesco","TEN","TE","3.1","0.2","15","0","0","0","0","0","0","0","0","3","1","21","0"
"Anthony McFarland Jr.","PIT","RB","3.1","1","3","0","0","0","0","0","0","0","0","2","2","11","0"
"Zonovan Knight","DET","RB","3.1","1.5","2","0","0","0","0","3","13","0","0","1","1","8","0"
"Malik Willis","TEN","QB","3.1","1","3","4","74","0","0","5","21","0","1","0","0","0","0"
"Laquon Treadwell","BAL","WR","2.6","0.5","5","0","0","0","0","0","0","0","0","3","1","16","0"
"Derrick Gore","WAS","RB","2.6","0.4","6","0","0","0","0","3","26","0","0","0","0","0","0"
"Adam Prentice","NO","RB","2.4","0.2","13","0","0","0","0","2","12","0","1","3","2","12","0"
"Devine Ozigbo","DET","RB","2.3","0.8","3","0","0","0","0","3","5","0","0","1","1","8","0"
"Ross Dwelley","SF","TE","2.2","0.2","12","0","0","0","0","0","0","0","0","2","1","12","0"
"Jakob Johnson","LV","RB","2.2","0.2","13","0","0","0","0","0","0","0","0","2","1","12","0"
"Erik Ezukanma","MIA","WR","2.2","1.1","2","0","0","0","0","5","22","0","0","1","0","0","0"
